Timestamp,Open,High,Low,Close,Date
1502928000.0,301.13000000,312.18000000,298.00000000,302.00000000,2017-08-17
1503014400.0,302.00000000,311.79000000,283.94000000,293.96000000,2017-08-18
1503100800.0,293.31000000,299.90000000,278.00000000,290.91000000,2017-08-19
1503187200.0,289.41000000,300.53000000,282.85000000,299.10000000,2017-08-20
1503273600.0,299.10000000,346.52000000,294.60000000,323.29000000,2017-08-21
1503360000.0,321.04000000,330.41000000,144.21000000,309.80000000,2017-08-22
1503446400.0,312.25000000,324.99000000,309.41000000,315.74000000,2017-08-23
1503532800.0,315.74000000,328.04000000,314.01000000,323.42000000,2017-08-24
1503619200.0,323.42000000,338.28000000,323.42000000,327.24000000,2017-08-25
1503705600.0,327.24000000,335.44000000,323.41000000,330.79000000,2017-08-26
1503792000.0,332.18000000,348.13000000,330.73000000,348.13000000,2017-08-27
1503878400.0,348.11000000,351.00000000,331.95000000,346.00000000,2017-08-28
1503964800.0,347.00000000,377.60000000,346.00000000,374.70000000,2017-08-29
1504051200.0,374.70000000,393.71000000,362.05000000,385.93000000,2017-08-30
1504137600.0,384.64000000,389.36000000,377.78000000,384.79000000,2017-08-31
1504224000.0,386.44000000,394.39000000,383.18000000,388.46000000,2017-09-01
1504310400.0,388.58000000,394.32000000,320.08000000,343.14000000,2017-09-02
1504396800.0,343.56000000,367.28000000,320.08000000,341.77000000,2017-09-03
1504483200.0,339.29000000,344.55000000,267.94000000,283.77000000,2017-09-04
1504569600.0,286.81000000,321.52000000,235.55000000,312.09000000,2017-09-05
1504656000.0,313.29000000,336.34000000,312.09000000,335.00000000,2017-09-06
1504742400.0,335.01000000,342.50000000,320.17000000,334.49000000,2017-09-07
1504828800.0,334.49000000,335.10000000,272.00000000,302.99000000,2017-09-08
1504915200.0,300.01000000,307.00000000,281.66000000,296.74000000,2017-09-09
1505001600.0,296.72000000,302.78000000,261.03000000,293.50000000,2017-09-10
1505088000.0,293.51000000,304.98000000,285.21000000,297.30000000,2017-09-11
1505174400.0,297.78000000,316.46000000,286.01000000,293.96000000,2017-09-12
1505260800.0,293.93000000,294.50000000,257.05000000,276.91000000,2017-09-13
1505347200.0,275.76000000,283.77000000,215.00000000,215.21000000,2017-09-14
1505433600.0,217.00000000,270.93000000,192.00000000,253.00000000,2017-09-15
1505520000.0,255.99000000,271.81000000,235.51000000,249.31000000,2017-09-16
1505606400.0,249.32000000,264.39000000,239.02000000,257.55000000,2017-09-17
1505692800.0,257.53000000,306.22000000,257.11000000,294.57000000,2017-09-18
1505779200.0,296.00000000,300.00000000,277.41000000,284.00000000,2017-09-19
1505865600.0,284.01000000,294.00000000,275.91000000,282.00000000,2017-09-20
1505952000.0,285.10000000,287.00000000,252.10000000,257.00000000,2017-09-21
1506038400.0,258.00000000,272.97000000,253.01000000,264.00000000,2017-09-22
