,Timestamp,Open,High,Low,Close,Date,Closing_SMA_5,Closing_SMA_50,Closing_SMA_200,Closing EMA_10,Closing EMA_20,Closing EMA_50,Order,Transaction
0,1577577600.0,128.11000000,138.07000000,127.52000000,134.36000000,2019-12-29,,,,134.36,134.36,134.36,,
1,1577664000.0,134.36000000,136.24000000,130.30000000,131.59000000,2019-12-30,,,,133.85636363636365,134.0961904761905,134.25137254901964,,
2,1577750400.0,131.61000000,133.68000000,128.17000000,129.16000000,2019-12-31,,,,133.002479338843,133.62607709750569,134.05171088043062,,
3,1577836800.0,129.16000000,133.05000000,128.68000000,130.77000000,2020-01-01,,,,132.5965740045079,133.3540697548861,133.9230163361,BUY ORDER,
4,1577923200.0,130.72000000,130.78000000,126.38000000,127.19000000,2020-01-02,130.61399999999998,,,131.6135605491428,132.767015492516,133.65897647978238,,
5,1578009600.0,127.19000000,135.14000000,125.88000000,134.35000000,2020-01-03,130.612,,,132.1110949947532,132.9177759218002,133.68607544135955,,BOUGHT
6,1578096000.0,134.37000000,135.85000000,132.50000000,134.20000000,2020-01-04,131.134,,,132.49089590479807,133.03989250067636,133.70622934561996,SELL ORDER,
7,1578182400.0,134.20000000,138.19000000,134.19000000,135.37000000,2020-01-05,132.376,,,133.01436937665295,133.26180750061195,133.77147525363486,,
8,1578268800.0,135.37000000,144.41000000,134.86000000,144.15000000,2020-01-06,135.052,,,135.03902948998876,134.2987782148394,134.17847622408055,,
9,1578355200.0,144.14000000,145.31000000,138.76000000,142.80000000,2020-01-07,138.17399999999998,,,136.45011503726352,135.10841838485467,134.51657519568525,,SOLD
10,1578441600.0,142.80000000,147.77000000,137.03000000,140.72000000,2020-01-08,139.44799999999998,,,137.22645775776104,135.64285472915424,134.75984675663878,SELL ORDER,
11,1578528000.0,140.76000000,141.50000000,135.30000000,137.74000000,2020-01-09,140.156,,,137.31982907453175,135.84258285018717,134.8767155112804,,SOLD
12,1578614400.0,137.73000000,145.17000000,135.32000000,144.84000000,2020-01-10,142.05,,,138.68713287916233,136.69947972159792,135.2674325500537,,
13,1578700800.0,144.83000000,148.05000000,142.09000000,142.38000000,2020-01-11,141.696,,,139.35856326476917,137.2404816528743,135.5463567637771,SELL ORDER,
14,1578787200.0,142.40000000,146.60000000,141.76000000,146.54000000,2020-01-12,142.44400000000002,,,140.66427903481113,138.12615006688628,135.97748002794273,,
15,1578873600.0,146.56000000,147.00000000,142.27000000,143.58000000,2020-01-13,143.01600000000002,,,141.1944101193909,138.64556434623043,136.27561806606263,,SOLD
16,1578960000.0,143.58000000,171.70000000,143.51000000,165.64000000,2020-01-14,148.596,,,145.6390628249562,141.21646297992277,137.4271624556288,,
17,1579046400.0,165.60000000,171.98000000,159.20000000,166.40000000,2020-01-15,152.908,,,149.41377867496416,143.614895077073,138.5633521632512,,
18,1579132800.0,166.40000000,167.40000000,157.80000000,164.21000000,2020-01-16,157.274,,,152.10400073406157,145.57633364116128,139.56910305881,SELL ORDER,
19,1579219200.0,164.24000000,174.81000000,162.14000000,169.85000000,2020-01-17,161.936,,,155.33054605514127,147.8881113896221,140.75658921336645,,
20,1579305600.0,169.92000000,179.50000000,164.92000000,174.14000000,2020-01-18,168.048,,,158.7504467723883,150.38829125727716,142.06574257754818,,
21,1579392000.0,174.10000000,178.05000000,161.66000000,166.79000000,2020-01-19,168.278,,,160.21218372286313,151.9503587565841,143.03532129999726,,SOLD
22,1579478400.0,166.79000000,169.33000000,161.24000000,166.87000000,2020-01-20,168.372,,,161.42269577325163,153.37127697024277,143.9700145823503,,
23,1579564800.0,166.86000000,170.32000000,164.80000000,169.49000000,2020-01-21,169.428,,,162.88947835993315,154.90639344926726,144.97079832421892,,
24,1579651200.0,169.48000000,171.47000000,166.03000000,168.07000000,2020-01-22,169.072,,,163.83139138539985,156.16007026362274,145.87664937032798,SELL ORDER,
25,1579737600.0,168.07000000,168.20000000,159.21000000,162.81000000,2020-01-23,166.806,,,163.64568386078167,156.79339690518248,146.54070233619746,,SOLD
26,1579824000.0,162.85000000,164.45000000,155.55000000,162.54000000,2020-01-24,165.95600000000002,,,163.44465043154864,157.34069243802224,147.16812577399364,,
27,1579910400.0,162.51000000,162.79000000,157.61000000,160.35000000,2020-01-25,164.65200000000002,,,162.8819867167216,157.6272931582106,147.68506201815075,,
28,1579996800.0,160.36000000,168.08000000,159.41000000,167.86000000,2020-01-26,164.32600000000002,,,163.78708004095404,158.60183666695247,148.47623605665464,,
29,1580083200.0,167.91000000,172.56000000,165.22000000,170.08000000,2020-01-27,164.728,,,164.93124730623512,159.69499507962368,149.32344248580543,,
30,1580169600.0,170.04000000,176.20000000,170.03000000,175.64000000,2020-01-28,167.294,,,166.878293250556,161.21356697680238,150.35546434910717,,
31,1580256000.0,175.58000000,178.45000000,173.33000000,173.72000000,2020-01-29,169.53000000000003,,,168.1222399322731,162.40465583615455,151.2717206491422,SELL ORDER,
32,1580342400.0,173.68000000,187.00000000,170.93000000,184.69000000,2020-01-30,174.39800000000002,,,171.13455994458707,164.5270695660446,152.58224140799936,,
33,1580428800.0,184.71000000,185.82000000,175.22000000,179.99000000,2020-01-31,176.824,,,172.74463995466212,165.99972960737367,153.65705547043078,,SOLD
34,1580515200.0,179.94000000,184.28000000,179.23000000,183.60000000,2020-02-01,179.528,,,174.71834178108716,167.67594583524286,154.8312885892374,,
35,1580601600.0,183.63000000,193.43000000,179.10000000,188.44000000,2020-02-02,182.088,,,177.2131887299804,169.65347480331496,156.1492772720124,,
36,1580688000.0,188.48000000,195.19000000,186.62000000,189.69000000,2020-02-03,185.28199999999998,,,179.48169986998397,171.56171529823735,157.46459973193348,,
37,1580774400.0,189.74000000,191.60000000,184.69000000,188.91000000,2020-02-04,186.12599999999998,,,181.1959362572596,173.2139328888814,158.69775268362235,SELL ORDER,
38,1580860800.0,188.91000000,207.61000000,188.19000000,203.78000000,2020-02-05,190.88399999999996,,,185.30212966503058,176.12498689946412,160.4656839509313,,
